project,turn_index,phase,role,interlocutor,timestamp,py_files,code_lines,structural_smells,code_smells,architectural_smells,total_smells,dpy_implementation_smells,dpy_design_smells,dpy_architecture_smells,dpy_total_smells,tokens_prompt,tokens_completion,tokens_reasoning,tokens_total,cost_usd,refactored_py_files,refactored_structural_smells,refactored_code_smells,refactored_architectural_smells,refactored_total_smells,delta_ref_vs_baseline_structural,delta_ref_vs_baseline_code,delta_ref_vs_baseline_architectural,delta_ref_vs_baseline_total,delta_ref_vs_postreview_structural,delta_ref_vs_postreview_code,delta_ref_vs_postreview_architectural,delta_ref_vs_postreview_total,refactored_dpy_implementation_smells,refactored_dpy_design_smells,refactored_dpy_architecture_smells,refactored_dpy_total_smells,delta_ref_vs_baseline_dpy_implementation,delta_ref_vs_baseline_dpy_design,delta_ref_vs_baseline_dpy_architecture,delta_ref_vs_baseline_dpy_total,delta_ref_vs_postreview_dpy_implementation,delta_ref_vs_postreview_dpy_design,delta_ref_vs_postreview_dpy_architecture,delta_ref_vs_postreview_dpy_total
2048_DefaultOrganization_20250908205825,0,Coding,Programmer,Chief Technology Officer,2025-08-09 21:00:05,2,260,3,6,2,11,16,0,0,16,691,8576,3136,9267,0.086624,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
2048_DefaultOrganization_20250908205825,1,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 21:02:59,3,260,3,9,5,17,22,0,0,22,5790,7825,2880,13615,0.085487,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
2048_DefaultOrganization_20250908205825,2,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 21:05:51,3,260,3,9,5,17,22,0,0,22,5843,7293,2432,13136,0.080234,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
2048_DefaultOrganization_20250908205825,3,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 21:09:22,3,260,3,9,5,17,22,0,0,22,5399,7486,2624,12885,0.081609,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
2048_DefaultOrganization_20250908205825,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-08-09 21:09:41,3,0,3,9,5,17,22,0,0,22,5330,600,576,5930,0.012663,3,3,2,3,8,0,-4,1,-3,0,-7,-2,-9,43,1,0,44,27,1,0,28,21,1,0,22
BudgetTracker_DefaultOrganization_20250909155642,0,Coding,Programmer,Chief Technology Officer,2025-09-09 15:59:09,5,705,13,3,7,23,17,1,0,18,558,10159,2432,10717,0.102288,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,1,CodeComplete,Programmer,Chief Technology Officer,2025-09-09 16:02:13,5,705,13,3,7,23,17,1,0,18,7919,9065,1536,16984,0.100549,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,2,CodeComplete,Programmer,Chief Technology Officer,2025-09-09 16:04:46,5,705,13,3,7,23,17,1,0,18,7919,9004,1472,16923,0.099939,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,3,CodeComplete,Programmer,Chief Technology Officer,2025-09-09 16:07:35,5,705,13,3,7,23,17,1,0,18,7915,8681,1152,16596,0.096704,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,4,CodeReviewModification,Programmer,Code Reviewer,2025-09-09 16:11:36,5,706,13,3,7,23,18,1,0,19,8412,9194,1600,17606,0.102455,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,5,CodeReviewModification,Programmer,Code Reviewer,2025-09-09 16:15:09,5,733,13,3,7,23,20,1,0,21,8570,8295,576,16865,0.093662,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
BudgetTracker_DefaultOrganization_20250909155642,6,CodeReviewModification,Programmer,Code Reviewer,2025-09-09 16:19:36,5,734,13,3,7,23,20,1,0,21,8277,8828,1088,17105,0.098626,5,13,2,5,20,0,-1,-2,-3,0,-1,-2,-3,54,2,0,56,37,1,0,38,34,1,0,35
CandyCrush_DefaultOrganization_20250923221010,0,Coding,Programmer,Chief Technology Officer,2025-23-09 22:12:50,0,0,0,0,0,0,0,0,0,0,673,10852,4096,11525,0.109361,,,,,,,,,,,,,,,,,,,,,,,,,
CandyCrush_DefaultOrganization_20250923221010,1,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 22:17:51,0,0,0,0,0,0,0,0,0,0,6998,7946,1728,14944,0.088208,,,,,,,,,,,,,,,,,,,,,,,,,
CandyCrush_DefaultOrganization_20250923221010,2,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 22:22:38,0,0,0,0,0,0,0,0,0,0,6986,8657,2304,15643,0.095303,,,,,,,,,,,,,,,,,,,,,,,,,
CandyCrush_DefaultOrganization_20250923221010,3,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 22:29:25,0,0,0,0,0,0,0,0,0,0,7549,8267,1664,15816,0.092106,,,,,,,,,,,,,,,,,,,,,,,,,
Checkers_DefaultOrganization_20250911143857,0,Coding,Programmer,Chief Technology Officer,2025-11-09 14:42:17,7,515,17,2,7,26,42,0,0,42,649,10454,4288,11103,0.105351,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,1,CodeComplete,Programmer,Chief Technology Officer,2025-11-09 14:44:19,7,528,17,2,7,26,41,0,0,41,5980,6992,1344,12972,0.077395,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,2,CodeComplete,Programmer,Chief Technology Officer,2025-11-09 14:47:08,7,528,17,2,7,26,41,0,0,41,6131,7183,1536,13314,0.079494,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,3,CodeComplete,Programmer,Chief Technology Officer,2025-11-09 14:49:54,7,528,17,2,7,26,41,0,0,41,6124,6834,1216,12958,0.075995,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
Checkers_DefaultOrganization_20250911143857,4,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 14:57:03,7,528,17,2,7,26,41,0,0,41,6114,8828,3200,14942,0.095922,7,12,4,6,22,-5,2,-1,-4,-5,2,-1,-4,92,3,0,95,50,3,0,53,51,3,0,54
